OBJECTID,PRE_DIR_TX,PRE_TYPE_T,NAME_TX,SUF_TYPE_T,SUF_DIR_TX,SUFFIX_TX,FULL_NAME,NEW_NM_ID
132015,,,QUAKER,ROAD,,,QUAKER RD,529276
132025,,,LINCOLN,SQUARE,,,LINCOLN SQ,531240
131799,,,SCENIC,DRIVE,,,SCENIC DR,533275
131726,,,CONGER,ROAD,,,CONGER RD,538276
132006,,,PROUTY,LANE,,,PROUTY LN,549267
131650,,,ROBIN HOOD,ROAD,,,ROBIN HOOD RD,553267
131656,,,STONE HAVEN,ROAD,,,STONE HAVEN RD,562264
131732,,,COPPAGE,DRIVE,,,COPPAGE DR,563200
131766,,,REDFIELD,ROAD,,,REDFIELD RD,568144
131907,,,GODDARD MEMORIAL,DRIVE,,,GODDARD MEMORIAL DR,574169
131697,,,CLEGG,STREET,,,CLEGG ST,581131
131890,,,FIELDING,STREET,,,FIELDING ST,582131
131870,,,DAWSON,ROAD,,,DAWSON RD,588317
131677,,,FERNSIDE,ROAD,,,FERNSIDE RD,590279
131917,,,GOULD HILL,ROAD,,,GOULD HILL RD,592131
131798,,,SCARSDALE,STREET,,,SCARSDALE ST,593176
131961,,,PINEWOOD,LANE,,,PINEWOOD LN,600311
131784,,,HEALY,ROAD,,,HEALY RD,602123
131654,,,SPRING,ROAD,,,SPRING RD,603157
131797,,,SCANDINAVIA,AVENUE,,,SCANDINAVIA AVE,603171
131779,,,RICH,STREET,,,RICH ST,603273
131653,,,SPRING,LANE,,,SPRING LN,605157
131959,,,PINEBROOK,LANE,,,PINEBROOK LN,607311
131923,,,OAK LEAF,CIRCLE,,,OAK LEAF CIR,609151
131896,,,FISHER,ROAD,,,FISHER RD,611213
131893,,,FIRGLADE,STREET,,,FIRGLADE ST,611284
131733,,,COPPERFIELD,ROAD,,,COPPERFIELD RD,613277
131894,,,FIRST,STREET,,,FIRST ST,614178
131808,,,SECONSET,STREET,,,SECONSET ST,614288
132014,,,QUABOAG,STREET,,,QUABOAG ST,616205
131900,,,GLENDALE,STREET,,,GLENDALE ST,616221
131716,,,COLRAIN,STREET,,,COLRAIN ST,617125
131810,,,SEMINOLE,DRIVE,,,SEMINOLE DR,617142
131982,,,DELAWANDA,DRIVE,,,DELAWANDA DR,617157
131807,,,SECOND,STREET,,,SECOND ST,617181
131962,,,PINNACLE,STREET,,,PINNACLE ST,618255
131763,,,REBBOLI,ROAD,,,REBBOLI RD,620210
131793,,,HENDERSON,AVENUE,,,HENDERSON AVE,621138
132036,,,SALISBURY HILL,BOULEVARD,,,SALISBURY HILL BLVD,622339
131874,,,DEERING,DRIVE,,,DEERING DR,624200
131751,,,RADMORE,STREET,,,RADMORE ST,624258
131699,,,CLEVELAND,AVENUE,,,CLEVELAND AVE,625130
131958,,,PINE VIEW,AVENUE,,,PINE VIEW AVE,627102
132037,,,TIDESWELL,LANE,,,TIDESWELL LN,627340
131823,,,LANARK,STREET,,,LANARK ST,628104
131861,,,CURTIS,PARKWAY,,,CURTIS PKWY,629130
131984,,,DELLWOOD,ROAD,,,DELLWOOD RD,629257
131707,,,CLOVER,STREET,,,CLOVER ST,630087
131790,,,HEMLOCK,STREET,,,HEMLOCK ST,630198
131867,,,DARA,LANE,,,DARA LN,630307
131719,,,COLUMBINE,ROAD,,,COLUMBINE RD,631271
131928,,,BROMPTON,CIRCLE,,,BROMPTON CIR,632364
131749,,,QUISSETT,STREET,,,QUISSETT ST,635216
131970,,,PLEASANT,STREET,,,PLEASANT ST,636263
131741,,,COWDEN,STREET,,,COWDEN ST,637090
131938,,,PENHALLOW,ROAD,,,PENHALLOW RD,638277
131785,,,HEARD,STREET,,,HEARD ST,639104
131845,,,ORRISON,STREET,,,ORRISON ST,639296
131689,,,CLARIDGE,DRIVE,,,CLARIDGE DR,640234
131753,,,RALEIGH,ROAD,,,RALEIGH RD,644266
131678,,,CIRCUIT,AVENUE,NORTH,,CIRCUIT AVE NORTH,645185
131680,,,CIRCUIT,AVENUE,WEST,,CIRCUIT AVE WEST,646176
131993,,,DICK,DRIVE,,,DICK DR,648345
131851,,,VINCENT,AVENUE,,,VINCENT AVE,649177
131943,,,PERROT,STREET,,,PERROT ST,649223
131663,,,BLACKTHORNE,DRIVE,,,BLACKTHORNE DR,650357
131679,,,CIRCUIT,AVENUE,SOUTH,,CIRCUIT AVE SOUTH,652170
131926,,,MEENA,DRIVE,,,MEENA DR,653095
131841,,,ORIENTAL,STREET,,,ORIENTAL ST,653371
131715,,,COLONIAL,ROAD,,,COLONIAL RD,654238
131862,,,CURTIS,STREET,,,CURTIS ST,655142
131710,,,COES,STREET,,,COES ST,655161
131889,,,FIELD,WAY,,,FIELD WAY,655254
131898,,,FLAGG,STREET,,,FLAGG ST,655283
131705,,,CLIVE,STREET,,,CLIVE ST,656185
131752,,,RAINBOW,DRIVE,,,RAINBOW DR,656377
131675,,,FERDINAND,STREET,,,FERDINAND ST,657177
131812,,,SEPTEMBER,STREET,,,SEPTEMBER ST,657210
131720,,,COLUMBUS,STREET,,,COLUMBUS ST,658174
131767,,,REED,STREET,,,REED ST,659204
131897,,,FISKE,STREET,,,FISKE ST,659220
131827,,,LANTERN,LANE,,,LANTERN LN,660341
131673,,,FENWICK,STREET,,,FENWICK ST,661274
131882,,,DEVONSHIRE,STREET,,,DEVONSHIRE ST,661388
131709,,,COES,SQUARE,,,COES SQ,663161
131854,,,VINEYARD,STREET,,,VINEYARD ST,663174
131740,,,COURTLAND,STREET,,,COURTLAND ST,663207
131662,,,ST. ELMO,ROAD,,,ST. ELMO RD,663242
132042,,,CHAPEL,ROAD,,,CHAPEL RD,664318
132016,,,THANAS,COURT,,,THANAS CT,665306
131795,,,SAXON,ROAD,,,SAXON RD,667277
131875,,,DELAWARE,STREET,,,DELAWARE ST,668128
131989,,,DEWAR,DRIVE,,,DEWAR DR,668189
131986,,,DENISON,ROAD,,,DENISON RD,669300
131948,,,PHOEBE,WAY,,,PHOEBE WAY,670339
131920,,,WESTPORT,CIRCLE,,,WESTPORT CIR,670372
132028,,,GYM,ROAD,,,GYM RD,671327
131935,,,PELICAN,AVENUE,,,PELICAN AVE,671344
131781,,,HAYNES,STREET,,,HAYNES ST,672144
131676,,,FERN,STREET,,,FERN ST,672177
131980,,,DEERFIELD,STREET,,,DEERFIELD ST,672201
131835,,,OLIVER,STREET,,,OLIVER ST,673165
132030,,,MAIN,ROAD,,,MAIN RD,673317
131646,,,ORIOLE,STREET,,,ORIOLE ST,675341
131698,,,CLEMENT,STREET,,,CLEMENT ST,677159
131722,,,COMMODORE,ROAD,,,COMMODORE RD,678221
131664,,,CRICKETT,LANE,,,CRICKETT LN,682261
131886,,,FLORENCE,STREET,,,FLORENCE ST,684174
131780,,,RICHARDS,STREET,,,RICHARDS ST,685149
131951,,,PIEHL,AVENUE,,,PIEHL AVE,685406
131937,,,PEMBROKE,STREET,,,PEMBROKE ST,686185
131658,,,ST. JOHN'S,ROAD,,,ST. JOHN'S RD,687134
131860,,,CRYSTAL,STREET,,,CRYSTAL ST,688152
131872,,,DEBORAH,ROAD,,,DEBORAH RD,688332
131811,,,SENECA,STREET,,,SENECA ST,690090
131826,,,LANSING,AVENUE,WEST,,LANSING AVE WEST,690356
131702,,,CLIFTON,TERRACE,,,CLIFTON TER,691176
131701,,,CLIFTON,STREET,,,CLIFTON ST,692179
131883,,,DEWEY,STREET,,,DEWEY ST,692194
131922,,,ARGYLE,STREET,,,ARGYLE ST,692276
131936,,,PEMBERTON,STREET,,,PEMBERTON ST,694189
131670,,,FEDERAL,PLACE,,,FEDERAL PL,694216
131748,,,CRESTWOOD,STREET,,,CRESTWOOD ST,694364
131957,,,PINE TREE,LANE,,,PINE TREE LN,697265
131956,,,PINE TREE,DRIVE,,,PINE TREE DR,697269
131992,,,DIANA,STREET,,,DIANA ST,698319
131927,,,LONGWOOD,AVENUE,,,LONGWOOD AVE,699363
131887,,,FLORIDA,AVENUE,,,FLORIDA AVE,700407
131783,,,HAZELWOOD,ROAD,,,HAZELWOOD RD,701301
131648,,,OVERLOOK,ROAD,,,OVERLOOK RD,701420
131685,,,CLAREMONT,SQUARE,,,CLAREMONT SQ,702177
131686,,,CLAREMONT,STREET,,,CLAREMONT ST,702178
132003,,,DOGWOOD,ROAD,,,DOGWOOD RD,702381
131731,,,COONAN,STREET,,,COONAN ST,704106
132027,,,APPIAN,WAY,,,APPIAN WAY,705128
131786,,,HEATH,STREET,,,HEATH ST,706106
131868,,,DARNELL,ROAD,,,DARNELL RD,706381
131665,,,EMMET,COURT,,,EMMET CT,707141
131652,,,SHELDON,STREET,,,SHELDON ST,708098
131971,,,PLEASANT,TERRACE,,,PLEASANT TER,708214
131644,,,NEWLAND,STREET,,,NEWLAND ST,711093
131695,,,CLAY,STREET,,,CLAY ST,711108
131828,,,LARCH,STREET,,,LARCH ST,711208
131934,,,PELHAM,STREET,,,PELHAM ST,711218
131856,,,CROMPTON,STREET,,,CROMPTON ST,712134
132017,,,QUEEN,STREET,,,QUEEN ST,712196
131839,,,OREAD,PLACE,,,OREAD PL,714184
131672,,,FENIMORE,ROAD,,,FENIMORE RD,714283
131869,,,DAVIS,STREET,,,DAVIS ST,715193
131805,,,SEARS ISLAND,DRIVE,,,SEARS ISLAND DR,715324
131643,,,NEWHOPE,WAY,,,NEWHOPE WAY,716194
131950,,,PIEDMONT,STREET,,,PIEDMONT ST,716199
131921,,,RUTLAND,CIRCLE,,,RUTLAND CIR,716269
131734,,,CORINTH,DRIVE,,,CORINTH DR,716411
131814,,,SEVER,STREET,,,SEVER ST,717226
131725,,,CONGDON,STREET,,,CONGDON ST,718153
131713,,,COLLEGE,STREET,,,COLLEGE ST,719109
131902,,,GLENWOOD,STREET,,,GLENWOOD ST,719172
131769,,,REGENT,STREET,,,REGENT ST,720262
132019,,,QUINCY,STREET,,,QUINCY ST,721206
131981,,,DELAVAL,ROAD,,,DELAVAL RD,721394
131690,,,CLARIDGE,ROAD,,,CLARIDGE RD,721406
131728,,,CONGRESS,STREET,,,CONGRESS ST,722211
131727,,,CONGRESS,ALLEY,,,CONGRESS ALY,722212
131737,,,COTTAGE,STREET,,,COTTAGE ST,722216
131681,,,CITY VIEW,STREET,,,CITY VIEW ST,723111
131801,,,SCHUSSLER,ROAD,,,SCHUSSLER RD,724242
131717,,,COLTON,STREET,,,COLTON ST,725146
131857,,,CROWN,STREET,,,CROWN ST,725208
131687,,,CLARENCE,STREET,,,CLARENCE ST,725300
131683,,,CLAPP,STREET,,,CLAPP ST,728149
131843,,,ORMOND,STREET,,,ORMOND ST,728236
131755,,,RALPH,STREET,,,RALPH ST,728308
132029,,,ELDRED,TERRACE,,,ELDRED TER,731144
131964,,,PITT,STREET,,,PITT ST,733141
131987,,,DENNY,STREET,,,DENNY ST,733237
131804,,,SCRIMGEOUR,ROAD,,,SCRIMGEOUR RD,733332
131704,,,CLINTON,STREET,,,CLINTON ST,734211
131694,,,CLASON,ROAD,,,CLASON RD,734337
131703,,,CLINTON,COURT,,,CLINTON CT,735210
131969,,,PLEASANT,PLACE,,,PLEASANT PL,735213
131901,,,GLENNIE,STREET,,,GLENNIE ST,735295
131995,,,DISTRIBUTOR,ROAD,,,DISTRIBUTOR RD,735298
131918,,,GOULDING,STREET,,,GOULDING ST,736237
131997,,,DIX,STREET,,,DIX ST,737233
131871,,,DEAN,STREET,,,DEAN ST,737246
132020,,,QUINSIGAMOND,AVENUE,,,QUINSIGAMOND AVE,738156
131825,,,LANGDON,STREET,,,LANGDON ST,740175
131909,,,GOLD STAR,BOULEVARD,,,GOLD STAR BLVD,740309
131932,,,PEARL,STREET,,,PEARL ST,741214
131829,,,CANTON,STREET,,,CANTON ST,742159
131671,,,FEDERAL,STREET,,,FEDERAL ST,742203
131824,,,LANCASTER,TERRACE,,,LANCASTER TER,743254
131789,,,HEMANS,STREET,,,HEMANS ST,743290
131991,,,DIAMOND,STREET,,,DIAMOND ST,745142
131908,,,GOLD,STREET,,,GOLD ST,745188
131865,,,DALY,STREET,,,DALY ST,745292
131647,,,OSCAR,STREET,,,OSCAR ST,746097
131915,,,GOTLAND,STREET,,,GOTLAND ST,746106
131802,,,SCOTT,STREET,,,SCOTT ST,747175
132039,,,ROBINSON,PLACE,,,ROBINSON PL,747231
131649,,,PERU,STREET,,,PERU ST,748098
131931,,,PEACEDALE,AVENUE,,,PEACEDALE AVE,749081
132026,,,SALEM,SQUARE,,,SALEM SQ,749203
131735,,,CORNHILL,STREET,,,CORNHILL ST,750087
131891,,,FIFTH,AVENUE,,,FIFTH AVE,750132
131762,,,RAYMOND,STREET,,,RAYMOND ST,750133
131913,,,GOSNOLD,STREET,,,GOSNOLD ST,750356
132008,,,PRUDENCE,STREET,,,PRUDENCE ST,750388
132021,,,BELLA,LANE,,,BELLA LN,751066
131761,,,RAY,STREET,,,RAY ST,751129
131944,,,PERRY,AVENUE,,,PERRY AVE,751149
131721,,,COMMERCIAL,STREET,,,COMMERCIAL ST,751218
131667,,,ERNEST S. JOHNSON,UNDERPASS,,,ERNEST S. JOHNSON UP,751241
131904,,,ASH,STREET,,,ASH ST,752187
131974,,,PLYMOUTH,STREET,,,PLYMOUTH ST,752192
131765,,,REDDING,COURT,,,REDDING CT,752275
131730,,,CONWAY,STREET,,,CONWAY ST,753050
131794,,,SAVOY,STREET,,,SAVOY ST,753051
131660,,,BEAMAN,AVENUE,,,BEAMAN AVE,753396
132010,,,PULLMAN,STREET,,,PULLMAN ST,753427
131816,,,SEYMOUR,STREET,,,SEYMOUR ST,754159
131800,,,SCHOOL,STREET,,,SCHOOL ST,754231
131724,,,CONCORD,STREET,,,CONCORD ST,754247
131788,,,HELMET,STREET,,,HELMET ST,756051
131906,,,GODDARD,STREET,,,GODDARD ST,756194
131910,,,GOLDSBERRY,STREET,,,GOLDSBERRY ST,758243
131847,,,VIEW,STREET,,,VIEW ST,759151
131718,,,COLUMBIA,STREET,,,COLUMBIA ST,759182
131792,,,HENCHMAN,TERRACE,,,HENCHMAN TER,759262
131744,,,CRESCENT,STREET,,,CRESCENT ST,759270
131791,,,HENCHMAN,STREET,,,HENCHMAN ST,760260
131750,,,RADCLIFFE,STREET,,,RADCLIFFE ST,760434
132043,,,RAND-WHITNEY,WAY,,,RAND-WHITNEY WAY,761061
131768,,,REEVES,STREET,,,REEVES ST,761095
131999,,,DIXFIELD,STREET,,,DIXFIELD ST,761464
131940,,,PENOBSCOT,STREET,,,PENOBSCOT ST,761472
131929,,,PAYSON,STREET,,,PAYSON ST,762126
131757,,,RANDOLPH,ROAD,,,RANDOLPH RD,762340
132000,,,DODGE,AVENUE,,EXTENSION,DODGE AVE EXT,762349
131905,,,GLOUCESTER,ROAD,,,GLOUCESTER RD,763122
132002,,,DODGE,AVENUE,,,DODGE AVE,764343
131946,,,PERTH,COURT,,,PERTH CT,766406
132022,,,NIPPNAPP,TRAIL,,,NIPPNAPP TRAIL,767027
131942,,,PERKINS,TERRACE,,,PERKINS TER,767266
131682,,,CLAFFEY,AVENUE,,,CLAFFEY AVE,767367
131834,,,OLIN,STREET,,,OLIN ST,767386
131756,,,RANDALL,STREET,,,RANDALL ST,767389
131776,,,REYNOLDS,STREET,,,REYNOLDS ST,767438
131859,,,CROYDON,ROAD,,,CROYDON RD,768414
131998,,,DIXFIELD,ROAD,,,DIXFIELD RD,768451
132001,,,DOANE,STREET,,,DOANE ST,769127
131941,,,PERKINS,STREET,,,PERKINS ST,769267
131696,,,CLEARVIEW,AVENUE,,,CLEARVIEW AVE,769323
131684,,,CLARA,STREET,,,CLARA ST,769416
132038,,,BLACKSTONE RIVER,ROAD,,,BLACKSTONE RIVER RD,770092
132007,,,PROVIDENCE,STREET,,,PROVIDENCE ST,770150
132005,,,PROSPECT,STREET,,,PROSPECT ST,770225
131873,,,DEEPDALE,ROAD,,,DEEPDALE RD,770451
